name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fsread,js,1,0,123,0.300,410900,0,0% 0% 0% 100%,0.305
fsread,js,1,0,123,0.280,440620,0,86% 3% 10% 0%,0.297
fsread,js,1,0,123,0.290,427768,0,0% 0% 0% 100%,0.296
fsread,js,1,0,123,0.280,440444,0,100% 7% 0% 0%,0.291
fsread,js,1,0,123,0.290,449540,0,0% 0% 0% 100%,0.291
fsread,js,1,0,123,0.300,415892,0,0% 0% 3% 97%,0.302
fsread,js,1,0,123,0.290,435344,0,0% 0% 0% 100%,0.294
fsread,js,1,0,123,0.290,453904,0,0% 100% 3% 0%,0.295
fsread,js,1,0,123,0.290,459188,0,0% 0% 3% 100%,0.295
fsread,js,1,0,123,0.290,460808,0,0% 97% 0% 0%,0.295
fsread,python,1,0,94,0.250,482496,0,0% 4% 0% 100%,0.263
fsread,python,1,0,94,0.260,443896,0,0% 0% 0% 96%,0.262
fsread,python,1,0,94,0.250,365308,0,4% 100% 0% 0%,0.258
fsread,python,1,0,94,0.250,367644,0,100% 0% 0% 0%,0.257
fsread,python,1,0,94,0.250,443868,0,0% 4% 4% 100%,0.260
fsread,python,1,0,94,0.260,392208,0,0% 0% 100% 0%,0.261
fsread,python,1,0,94,0.250,443832,0,96% 0% 0% 0%,0.261
fsread,python,1,0,94,0.250,368436,0,0% 12% 0% 96%,0.259
fsread,python,1,0,94,0.260,443876,0,0% 0% 0% 100%,0.264
fsread,python,1,0,94,0.250,443904,0,96% 4% 0% 0%,0.260
fsread,go,1,0,166,0.230,419280,0,45% 67% 0% 0%,0.240
fsread,go,1,0,166,0.230,402656,0,0% 24% 75% 4%,0.242
fsread,go,1,0,166,0.230,420608,0,22% 0% 74% 0%,0.232
fsread,go,1,0,166,0.230,418488,0,0% 75% 0% 23%,0.234
fsread,go,1,0,166,0.220,415584,0,25% 0% 0% 74%,0.233
fsread,go,1,0,166,0.240,416376,0,25% 0% 0% 75%,0.241
fsread,go,1,0,166,0.230,402920,0,22% 4% 0% 75%,0.240
fsread,go,1,0,166,0.230,420336,0,0% 0% 0% 100%,0.231
fsread,go,1,0,166,0.230,418232,0,0% 0% 25% 75%,0.235
fsread,go,1,0,166,0.230,409284,0,25% 75% 0% 0%,0.237
fsread,java,1,0,260,3.410,1914776,0,92% 19% 8% 2%,4.232
fsread,java,1,0,260,3.120,1923552,0,8% 30% 62% 4%,3.755
fsread,java,1,0,260,3.260,1925536,0,13% 6% 93% 6%,3.726
fsread,java,1,0,260,3.130,1926828,0,32% 0% 69% 12%,3.618
fsread,java,1,0,260,3.070,1926252,0,23% 86% 11% 20%,3.872
fsread,java,1,0,260,3.160,1915832,0,13% 6% 86% 10%,3.707
fsread,java,1,0,260,3.100,1927988,0,12% 3% 93% 9%,3.539
fsread,java,1,0,260,3.080,1927144,0,20% 91% 2% 2%,3.579
fsread,java,1,0,260,3.070,1925340,0,12% 0% 93% 11%,3.627
fsread,java,1,0,260,3.130,1925968,0,15% 85% 6% 3%,3.513
gc,java,1,0,199,0.470,23852,0,2% 0% 4% 98%,0.476
gc,java,1,0,199,0.470,24184,0,98% 4% 2% 2%,0.477
gc,java,1,0,199,0.470,24396,0,2% 98% 0% 2%,0.473
gc,java,1,0,199,0.480,24360,0,4% 0% 4% 96%,0.498
gc,java,1,0,199,0.470,24348,0,0% 98% 2% 0%,0.474
gc,java,1,0,199,0.490,23748,0,0% 98% 4% 0%,0.486
gc,java,1,0,199,0.480,24396,0,2% 67% 2% 32%,0.477
