name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
file,pdf,1,0,31545435,0.000,0,-11,%,0.000
fsread,js,1,0,123,0.280,460808,0,100% 7% 0% 0%,0.291
fsread,python,1,0,94,0.250,482496,0,100% 0% 0% 0%,0.257
fsread,go,1,0,166,0.230,420608,0,0% 0% 0% 100%,0.231
fsread,java,1,0,260,3.130,1927988,0,15% 85% 6% 3%,3.513
video,mp4,1,0,484504657,0.000,0,-11,%,0.000
gc,java,1,0,199,0.470,24396,0,2% 98% 0% 2%,0.473
gc,go,1,0,198,1.810,540,0,1% 1% 99% 0%,1.820
gc,python,1,0,107,3.160,961468,0,1% 0% 100% 0%,3.174
gc,js,1,0,116,0.440,25856,0,0% 100% 0% 0%,0.449
helloworld,java,1,0,174,0.090,20488,0,1% 1% 0% 7%,1.093
helloworld,python,1,0,68,0.010,6832,0,0% 0% 0% 0%,1.014
helloworld,go,1,0,110,0.000,788,0,0% 0% 1% 1%,1.004
helloworld,js,1,0,84,0.040,22380,0,0% 4% 0% 1%,1.048
httpsmallthreaded,js,1,0,138,0.080,26176,0,80% 9% 10% 0%,0.095
httpsmallthreaded,go,1,0,220,0.020,6548,0,0% 0% 9% 9%,0.111
httpsmallthreaded,python,1,0,322,0.050,12892,0,16% 13% 4% 0%,0.232
httpsmallthreaded,java,1,0,579,0.200,77092,0,11% 14% 38% 14%,0.284
pidigits,go,1,0,244,0.160,540,0,100% 0% 0% 0%,0.164
pidigits,python,1,0,222,4.280,7512,0,0% 100% 0% 0%,4.285
pidigits,js,1,0,319,5.730,1026860,0,10% 20% 71% 0%,5.733
pidigits,java,1,0,497,0.730,248248,0,3% 91% 6% 13%,0.675
